发帖时间,发帖人,primary_topic,topic_score,互动数,评论数,分享数,完整图片数,帖子链接,外部链接,摘录,topic_scores,matched_keywords
2025-11-01 19:13:44,Christina Cress,tile_theme_pattern,5,2597,168,92,1,https://www.facebook.com/groups/MahJonggThatsIt/permalink/25476934161924756/,,"Mahjong Tiles! Flower 🌺, Soap 🧼/White Dragon🤍, Joker🃏, 2 Dot ⏺️, Red Dragon 🀄️, Green Dragon 🐉 , West Wind 💨, East Wind 💨","{""tile_design_readability"": 2, ""tile_theme_pattern"": 3}","{""tile_design_readability"": [""joker"", ""dragon""], ""tile_theme_pattern"": [""green"", ""red"", ""flower""]}"
2026-05-28 16:52:49,Johni Levene,tile_theme_pattern,4,2548,2201,4,1,https://www.facebook.com/groups/MahJonggThatsIt/permalink/27519447737673378/,https://sweetjojomahjong.com/?sca_ref=11223994.sWNxlf4a6CdTEh,"**WHOOP WHOOP!!! Group giveaway!!! ** Jodi and her daughters at Sweet Jojo Mahjong are MJTI members, and they LOVED the input on the two new pink sets, they said it was SOOO helpful. Because of your input they decided to open preorders for both designs, I'm happy about that because I really loved bo ... is run for the week so everyone gets a chance to chime in. The set winner will be drawn on June 4th.","{""tile_theme_pattern"": 1, ""mat_table_surface"": 1, ""buying_matching"": 1, ""quality_risk"": 1}","{""tile_theme_pattern"": [""pink""], ""mat_table_surface"": [""mats""], ""buying_matching"": [""link""], ""quality_risk"": [""price""]}"
2026-06-12 03:40:47,Johni Levene,accessory_storage,16,2452,1622,16,3,https://www.facebook.com/groups/MahJonggThatsIt/permalink/27713243918293758/,https://allthatmahj.com/collections/americana?sca_ref=11458327.CjMc6qSaGj6,"**250k members, 250 years, coincidence? I think not! We think it's a sign that it's time for a gigantic week long giveaway :) ** Our MJTI member Kezia Whitteker of All That Mahj agrees too. She wants to kick off our two part celebration of both the groups 250k milestone AND our country 250th birthda ... t favorite 4th of July memory this set evokes for you. The contest ends Friday June 19...[truncated]","{""tile_design_readability"": 1, ""tile_theme_pattern"": 3, ""mat_table_surface"": 3, ""accessory_storage"": 5, ""buying_matching"": 2, ""quality_risk"": 2}","{""tile_design_readability"": [""jokers""], ""tile_theme_pattern"": [""blue"", ""red"", ""custom""], ""mat_table_surface"": [""mat"", ""neoprene"", ""tablecloth""], ""accessory_storage"": [""racks"", ""tile bag"", ""tote""], ""buying_matching"": [""matches"", ""amazon""], ""quality_risk"": [""quality"", ""thick""]}"
2025-11-14 23:50:51,Kimberly Fox Kellogg,buying_matching,4,2377,395,18,1,https://www.facebook.com/groups/MahJonggThatsIt/permalink/25601403312811173/,,"Visiting my 81 year old mom's Florida home and got to see her new mah jong room in person - what a transformation! She removed the guest bed, side tables, armoire (plantation shutters coming soon) and replaced all with a Murphy bed creating room for an always ready table for her favorite game. 🀄️ Gu ... my mom so she can feel the love on her room. Thank you everyone - appreciate all your kind words! ❤️","{""mat_table_surface"": 1, ""buying_matching"": 3}","{""mat_table_surface"": [""mat""], ""buying_matching"": [""go with""]}"
2026-03-08 16:13:10,Ellis Newport,tile_design_readability,3,2351,484,60,0,https://www.facebook.com/groups/MahJonggThatsIt/permalink/26600719026212925/,,"I Played My First Mahjong Tournament. The Tiles Won. A Survivor’s Field Report Nobody warned me. That is the first thing I want you to know. I walked into my first Mahjong tournament with the casual confidence of someone who had read the card, practiced at kitchen tables, and genuinely believed — bl ... ence, the humility, and the reminder that a 15-minute game can contain an entire lifetime of regret.","{""tile_design_readability"": 2, ""tile_theme_pattern"": 1}","{""tile_design_readability"": [""bams"", ""jokers""], ""tile_theme_pattern"": [""bright""]}"
2026-06-25 22:12:03,Kathy Leppek,buying_matching,3,2339,288,12,2,https://www.facebook.com/groups/MahJonggThatsIt/permalink/27882979371320211/,,"Look what my daughter made for me! She bought blank tiles from Amazon and designed a Pickleball tile set. She went to a local “maker space” to laser engrave the tiles and then hand painted them. It was a labor of love, and I LOVE them. ❤️ 🀄️ The mat is from Etsy and the bag is from Michaels.","{""mat_table_surface"": 1, ""buying_matching"": 2}","{""mat_table_surface"": [""mat""], ""buying_matching"": [""amazon"", ""etsy""]}"
2025-12-27 01:26:49,Angie Larkey King,mat_table_surface,3,1916,136,2,3,https://www.facebook.com/groups/MahJonggThatsIt/permalink/25952365034381664/,,I bought this card table from marketplace for $50. It’s 38x38 and it’s being refinished. I’ll post an updated pic after completion. So excited for my mahjong room!! *UPDATE!!! Here’s the refinished table!!! Now I’m ready to set up my Heritage tiles for my first game of Mahjong at my house!!,"{""mat_table_surface"": 3}","{""mat_table_surface"": [""card table""]}"
2025-11-17 16:08:07,Dee Clair,tile_design_readability,4,1838,350,35,0,https://www.facebook.com/groups/MahJonggThatsIt/permalink/25623881640563340/,,"Well, it certainly all started innocently enough. A tidy little paper stock card with a yearly April release date. A fresh, annual promise of “fun new hands” and enough pairs and singles to make you cry. The “floating pair” still makes me reach for Tylenol. And then… the error. The horror. One tiny ... l. #mahjong #mahj #mahjongg #dots #bams #craks #winds #dragons #mahjongaddict #games #tiles #thecard","{""tile_design_readability"": 3, ""tile_theme_pattern"": 1}","{""tile_design_readability"": [""dots"", ""bams"", ""dragons""], ""tile_theme_pattern"": [""green""]}"
2026-03-13 02:47:00,Johni Levene,mat_table_surface,4,1805,1482,4,2,https://www.facebook.com/groups/MahJonggThatsIt/permalink/26645346835083477/,https://mahjbylori.com/?sca_ref=10346080.LR2W7r0Nmk,"**MJTI GIVEAWAY! **I'm really excited to see this line finally be birthed. I've been working with our member Lori Spielman for almost a year now while she has developed her line based on her vibrant original artwork. It's FINALLY HERE! Well at least her mats are, the set is still on a slow boat. Her ... ps://mahjbylori.com?sca_ref=10346080.LR2W7r0Nmk](https://mahjbylori.com?sca_ref=10346080.LR2W7r0Nmk)","{""tile_design_readability"": 1, ""tile_theme_pattern"": 1, ""mat_table_surface"": 2}","{""tile_design_readability"": [""dragon""], ""tile_theme_pattern"": [""dragonfly""], ""mat_table_surface"": [""mat"", ""mats""]}"
2025-11-08 02:04:13,Linda B. Rosenson,accessory_storage,3,1803,1185,5,1,https://www.facebook.com/groups/MahJonggThatsIt/permalink/25536422485975923/,,"CATEGORY: “Yet more about the 2025 NMJL Card” PLEASE JUST POST “Got it” when you solve the puzzle. Please DO NOT post the answer OR a part of the answer. This may be easy for some and challenging for others - either way, just enjoy!! Contact me via FB messenger for a hint if needed.","{""accessory_storage"": 3}","{""accessory_storage"": [""nmjl card""]}"
